country,project-name,unit-name,capacity-(mw),status,reactor-type,model,owner,operator,lat,lng,location-accuracy,state/province,region,url,areas-subnat-sat-display
India,Tarapur nuclear power plant,3,540.0,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,Nuclear Power Corporation Of India LTD [100%],Nuclear Power Corporation Of India LTD,19.8294,72.6617,exact,Maharashtra,Asia,https://www.gem.wiki/Tarapur_nuclear_power_plant,"Maharashtra, India"
India,Tarapur nuclear power plant,4,540.0,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,Nuclear Power Corporation Of India LTD [100%],Nuclear Power Corporation Of India LTD,19.8294,72.6617,exact,Maharashtra,Asia,https://www.gem.wiki/Tarapur_nuclear_power_plant,"Maharashtra, India"
Poland,Tarnobrzeg Special Economic Zone nuclear power plant,1,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.5243466,21.6254433,approximate,Subcarpathian Voivodeship,Europe,https://www.gem.wiki/Tarnobrzeg_Special_Economic_Zone_nuclear_power_plant,"Subcarpathian Voivodeship, Poland"
Poland,Tarnobrzeg Special Economic Zone nuclear power plant,2,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.5243466,21.6254433,approximate,Subcarpathian Voivodeship,Europe,https://www.gem.wiki/Tarnobrzeg_Special_Economic_Zone_nuclear_power_plant,"Subcarpathian Voivodeship, Poland"
Poland,Tarnobrzeg Special Economic Zone nuclear power plant,3,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.5243466,21.6254433,approximate,Subcarpathian Voivodeship,Europe,https://www.gem.wiki/Tarnobrzeg_Special_Economic_Zone_nuclear_power_plant,"Subcarpathian Voivodeship, Poland"
Poland,Tarnobrzeg Special Economic Zone nuclear power plant,4,300.0,announced,small modular reactor,BWRX-300,Orlen Synthos Green Energy [100%],,50.5243466,21.6254433,approximate,Subcarpathian Voivodeship,Europe,https://www.gem.wiki/Tarnobrzeg_Special_Economic_Zone_nuclear_power_plant,"Subcarpathian Voivodeship, Poland"
Russia,Tatar nuclear power plant,1,1250.0,cancelled,pressurized water reactor,VVER-TOI,Rosatom [100%],Rosenergoatom,55.4518,51.2901,exact,Tatarstan,Europe,https://www.gem.wiki/Tatar_nuclear_power_plant,"Tatarstan, Russia"
Russia,Tatar nuclear power plant,2,1255.0,cancelled,pressurized water reactor,VVER-TOI,Rosatom [100%],Rosenergoatom,55.4518,51.2901,exact,Tatarstan,Europe,https://www.gem.wiki/Tatar_nuclear_power_plant,"Tatarstan, Russia"
Russia,Tatar nuclear power plant,Original 1,950.0,cancelled,pressurized water reactor,unknown,,Rosenergoatom,55.4518,51.2901,exact,Tatarstan,Europe,https://www.gem.wiki/Tatar_nuclear_power_plant,"Tatarstan, Russia"
Russia,Tatar nuclear power plant,Original 2,950.0,cancelled,pressurized water reactor,unknown,,Rosenergoatom,55.4518,51.2901,exact,Tatarstan,Europe,https://www.gem.wiki/Tatar_nuclear_power_plant,"Tatarstan, Russia"
Czech Republic,Temelin nuclear power plant,1,1082.0,operating,pressurized water reactor,VVER V-320,CEZ AS [100%],CEZ,49.1796,14.3795,exact,Southwest,Europe,https://www.gem.wiki/Temelin_nuclear_power_plant,"Southwest, Czech Republic"
Czech Republic,Temelin nuclear power plant,2,1082.0,operating,pressurized water reactor,VVER V-320,CEZ AS [100%],CEZ,49.1796,14.3795,exact,Southwest,Europe,https://www.gem.wiki/Temelin_nuclear_power_plant,"Southwest, Czech Republic"
