country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
United States,Tuscarora geothermal power plant,1,,16.0,operating,2012,,,Ormat Technology Inc [100%],41.4828,-116.1511,exact,,Nevada,Americas,G100000700552,L100000700293,https://www.gem.wiki/Tuscarora_geothermal_power_plant,binary cycle
United States,Tuscarora geothermal power plant,2,,16.0,operating,2012,,,Ormat Technology Inc [100%],41.4828,-116.1511,exact,,Nevada,Americas,G100000700553,L100000700293,https://www.gem.wiki/Tuscarora_geothermal_power_plant,binary cycle
Türkiye,Tuzla geothermal power plant,--,"Tuzla Jeotermal, Tuzla Çanakkale Jeotermal Buhar Tesisi",7.5,operating,2010,,,Tuzla Jeotermal Enerji AŞ,39.56608,26.17288,approximate,,,Asia,G100001050534,L100001044959,https://www.gem.wiki/Tuzla_geothermal_power_plant,binary cycle
Japan,Uenotai geothermal power plant,--,,28.8,operating,1994,,,,39.00156,140.60362,exact,,,Asia,G100001048343,L100001042957,https://www.gem.wiki/Uenotai_geothermal_power_plant,flash steam - single
Indonesia,Ulubelu geothermal power plant,1,,55.0,operating,2012,,Pertamina Geothermal Energy,Pertamina Geothermal Energy [100%],-5.3096,104.5733,exact,,Lampung,Asia,G100000700306,L100000700185,https://www.gem.wiki/Ulubelu_geothermal_power_plant,flash steam - single
Indonesia,Ulubelu geothermal power plant,2,,55.0,operating,2012,,Pertamina Geothermal Energy,Pertamina Geothermal Energy [100%],-5.3096,104.5733,exact,,Lampung,Asia,G100000700307,L100000700185,https://www.gem.wiki/Ulubelu_geothermal_power_plant,flash steam - single
Indonesia,Ulubelu geothermal power plant,3,,55.0,operating,2016,,Pertamina Geothermal Energy,Pertamina Geothermal Energy [100%],-5.305,104.5767,exact,,Lampung,Asia,G100000700308,L100000700185,https://www.gem.wiki/Ulubelu_geothermal_power_plant,unknown type
Indonesia,Ulubelu geothermal power plant,4,,55.0,operating,2017,,Pertamina Geothermal Energy,Pertamina Geothermal Energy [100%],-5.305,104.5767,exact,,Lampung,Asia,G100000700309,L100000700185,https://www.gem.wiki/Ulubelu_geothermal_power_plant,unknown type
Indonesia,Ulumbo geothermal power plant,1,,2.0,operating,,,PT PLN (Persero),,-5.309,104.5734,exact,,Lampung,Asia,G100000700375,L100000700215,https://www.gem.wiki/Ulumbo_geothermal_power_plant,unknown type
Indonesia,Ulumbo geothermal power plant,2,,2.0,operating,,,PT PLN (Persero),,-5.309,104.5734,exact,,Lampung,Asia,G100000700376,L100000700215,https://www.gem.wiki/Ulumbo_geothermal_power_plant,unknown type
Indonesia,Ulumbo geothermal power plant,3,,2.0,operating,,,PT PLN (Persero),,-5.3058,104.577,exact,,Lampung,Asia,G100000700377,L100000700215,https://www.gem.wiki/Ulumbo_geothermal_power_plant,unknown type
