country,url,plant,unit,chinese_name,owner,parent,capacity,status,year,subnational,lat,lng,region
China,https://www.gem.wiki/Xinyang_Pingqiao_power_station,Xinyang Pingqiao power station,Unit 10,信阳平桥发电厂,Henan Xinyang Pingqiao Power Plant [100%],Xinyang Shihe District Shanshan Wood Industry Products Co Ltd [45.4%]; Xinyang Hongchang Real Estate Development Co Ltd [39.6%]; Xinyang Hongchang Agricultural Development Co Ltd [14.9%],55,retired,,Henan,32.101988,114.133716,Asia
China,https://www.gem.wiki/Xinyang_Pingqiao_power_station,Xinyang Pingqiao power station,Unit 11,信阳平桥发电厂,Henan Xinyang Pingqiao Power Plant [100%],Xinyang Shihe District Shanshan Wood Industry Products Co Ltd [45.4%]; Xinyang Hongchang Real Estate Development Co Ltd [39.6%]; Xinyang Hongchang Agricultural Development Co Ltd [14.9%],55,retired,,Henan,32.101988,114.133716,Asia
China,https://www.gem.wiki/Xinyang_Pingqiao_power_station,Xinyang Pingqiao power station,Unit 12,信阳平桥发电厂,Henan Xinyang Pingqiao Power Plant [100%],Xinyang Shihe District Shanshan Wood Industry Products Co Ltd [45.4%]; Xinyang Hongchang Real Estate Development Co Ltd [39.6%]; Xinyang Hongchang Agricultural Development Co Ltd [14.9%],55,retired,,Henan,32.101988,114.133716,Asia
China,https://www.gem.wiki/Xinyang_Pingqiao_power_station,Xinyang Pingqiao power station,Unit 13,信阳平桥发电厂,Henan Xinyang Pingqiao Power Plant [100%],Xinyang Shihe District Shanshan Wood Industry Products Co Ltd [45.4%]; Xinyang Hongchang Real Estate Development Co Ltd [39.6%]; Xinyang Hongchang Agricultural Development Co Ltd [14.9%],55,retired,,Henan,32.101988,114.133716,Asia
China,https://www.gem.wiki/Xinyang_Pingqiao_power_station,Xinyang Pingqiao power station,Unit 14,信阳平桥发电厂,Henan Xinyang Pingqiao Power Plant [100%],Xinyang Shihe District Shanshan Wood Industry Products Co Ltd [45.4%]; Xinyang Hongchang Real Estate Development Co Ltd [39.6%]; Xinyang Hongchang Agricultural Development Co Ltd [14.9%],135,retired,,Henan,32.101988,114.133716,Asia
China,https://www.gem.wiki/Xinyang_power_station,Xinyang power station,Phase I Unit 1,信阳发电厂,Datang Xinyang Power Generation Co Ltd [100.0%],Datang Xinyang Power Generation Co Ltd [100.0%],300,operating,2001,Henan,32.109018,114.140877,Asia
China,https://www.gem.wiki/Xinyang_power_station,Xinyang power station,Phase I Unit 2,信阳发电厂,Datang Xinyang Power Generation Co Ltd [100.0%],Datang Xinyang Power Generation Co Ltd [100.0%],320,operating,2001,Henan,32.109018,114.140877,Asia
China,https://www.gem.wiki/Xinyang_power_station,Xinyang power station,Phase II Unit 3,信阳发电厂,Datang Xinyang Huayu Power Generation Co Ltd [100.0%],Datang Xinyang Huayu Power Generation Co Ltd [100.0%],660,operating,2009,Henan,32.109018,114.140877,Asia
China,https://www.gem.wiki/Xinyang_power_station,Xinyang power station,Phase II Unit 4,信阳发电厂,Datang Xinyang Huayu Power Generation Co Ltd [100.0%],Datang Xinyang Huayu Power Generation Co Ltd [100.0%],660,operating,2009,Henan,32.109018,114.140877,Asia
China,https://www.gem.wiki/Xinyang_power_station,Xinyang power station,Unit 1,信阳发电厂,Datang Xinyang Power Generation Co Ltd [100.0%],Datang Xinyang Power Generation Co Ltd [100.0%],1000,construction,2025,Henan,32.109018,114.140877,Asia
China,https://www.gem.wiki/Xinyang_power_station,Xinyang power station,Unit 2,信阳发电厂,Datang Xinyang Power Generation Co Ltd [100.0%],Datang Xinyang Power Generation Co Ltd [100.0%],1000,construction,2025,Henan,32.109018,114.140877,Asia
China,https://www.gem.wiki/Xinyou_Qitai_power_station,Xinyou Qitai power station,Phase I Unit 1,新疆信友能源投资公司奇台发电厂,Xinjiang Xinyou Energy Investment [100%],Shanxi Xinyou Investment Group Co Ltd [99.5%]; other [0.5%],660,operating,2019,Xinjiang,44.5544,90.2572,Asia
China,https://www.gem.wiki/Xinyou_Qitai_power_station,Xinyou Qitai power station,Phase I Unit 2,新疆信友能源投资公司奇台发电厂,Xinjiang Xinyou Energy Investment [100%],Shanxi Xinyou Investment Group Co Ltd [99.5%]; other [0.5%],660,operating,2020,Xinjiang,44.5544,90.2572,Asia
China,https://www.gem.wiki/Xinyou_Qitai_power_station,Xinyou Qitai power station,Phase II Unit 3,新疆信友能源投资公司奇台发电厂,Xinjiang Xinyou Energy Investment [100%],Shanxi Xinyou Investment Group Co Ltd [99.5%]; other [0.5%],660,cancelled,,Xinjiang,44.5544,90.2572,Asia
China,https://www.gem.wiki/Xinyou_Qitai_power_station,Xinyou Qitai power station,Phase II Unit 4,新疆信友能源投资公司奇台发电厂,Xinjiang Xinyou Energy Investment [100%],Shanxi Xinyou Investment Group Co Ltd [99.5%]; other [0.5%],660,cancelled,,Xinjiang,44.5544,90.2572,Asia
China,https://www.gem.wiki/Xinyuan_power_station,Xinyuan power station,Unit 1,陕西新元发电厂,Shaanxi Xinli Power Generation [100%],Baishui Yuanmu Real Estate Development Co Ltd [100.0%],55,operating,1999,Shaanxi,35.196895,109.594137,Asia
