country/area,project-name,fuel,unit-name,project-name-in-local-language-/-script,capacity-(mw),status,start-year,retired-year,hydrogen-capable,operator(s),owner(s),lat,lng,location-accuracy,city,state/province,region,gem-phase-id,url
Japan,Maeda-Ofunato power station,bioenergy: agricultural waste (solids),"1, timepoint 2","大船渡発電株式会社, 大船渡バイオマス発電所",75.0,operating,2020,,,Taiheiyo Cement,Ofunato Power Generation Co Ltd [100%],39.068,141.725222,approximate,,Tōhoku,Asia,G1000002487,https://www.gem.wiki/Maeda-Ofunato_power_station
Guatemala,Magdalena Sugar Mill power station,bioenergy: agricultural waste (solids),4,Planta cogeneradora Magdalena,72.0,operating,2004,,,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.' [100%],14.1216,-90.9272,exact,,Escuintla,Americas,G100000201556,https://www.gem.wiki/Magdalena_Sugar_Mill_power_station
Guatemala,Magdalena Sugar Mill power station,"bioenergy: agricultural waste (solids), fossil liquids: fuel oil",5,Planta cogeneradora Magdalena,45.0,operating,2008,,,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.' [100%],14.1216,-90.9272,exact,,Escuintla,Americas,G100000201557,https://www.gem.wiki/Magdalena_Sugar_Mill_power_station
Guatemala,Magdalena Sugar Mill power station,"bioenergy: agricultural waste (solids), coal: unknown, fossil liquids: fuel oil",6,Planta cogeneradora Magdalena,62.0,operating,2012,,,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.' [100%],14.1216,-90.9272,exact,,Escuintla,Americas,G100000106560,https://www.gem.wiki/Magdalena_Sugar_Mill_power_station
Guatemala,Magdalena Sugar Mill power station,"bioenergy: agricultural waste (solids), coal: unknown, fossil liquids: fuel oil",7,Planta cogeneradora Magdalena,62.0,operating,2014,,,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.' [100%],14.1216,-90.9272,exact,,Escuintla,Americas,G100000106561,https://www.gem.wiki/Magdalena_Sugar_Mill_power_station
Japan,Maishima power station,bioenergy: refuse (municipal and industrial wastes),1,大阪広域環境施設組合,32.0,operating,2001,,,,,34.6656,135.4066,exact,Osaka,,Asia,G100000200097,https://www.gem.wiki/Maishima_power_station
DR Congo,Makelele Biogas power station,bioenergy: agricultural waste (biogas),1,,60.0,pre-construction,,,,,,-1.7567,29.0186,approximate,,South Kivu,Africa,G100000201685,https://www.gem.wiki/Makelele_Biogas_power_station
Sierra Leone,Makeni Bioethanol Plant power station,bioenergy: agricultural waste (solids),1,,32.0,operating,2014,,,Sunbird Bioenergy (SL),Sunbird Bioenergy (SL) Ltd [100%],8.7123,-12.2359,exact,,Tonkolili District,Africa,G100000200006,https://www.gem.wiki/Makeni_Bioethanol_Plant_power_station
Brazil,Mandu power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Mandu,90.0,operating,2006,,,Tereos Açúcar e Energia Brasil,Tereos Açúcar e Energia Brasil SA [100%],-20.479,-48.4015,exact,Guaíra,São Paulo,Americas,G100000200615,https://www.gem.wiki/Mandu_power_station
United States,Manitowoc power station,"bioenergy: wood & other biomass (solids), fossil liquids: petroleum coke, coal: bituminous",6,,32.0,operating,1962,,,Manitowoc Public Utilities,Manitowoc Public Utilities Inc [100%],44.082,-87.6558,exact,,Wisconsin,Americas,G100000201635,https://www.gem.wiki/Manitowoc_power_station
United States,Mansfield Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), fossil gas: natural gas",GEN1,,40.0,operating,1981,,,International Paper,IPC-Mansfield Mill [100%],32.1575,-93.5562,exact,Mansfield,Louisiana,Americas,G100000201636,https://www.gem.wiki/Mansfield_Mill_power_station
United States,Mansfield Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), fossil gas: natural gas",GEN2,,40.0,operating,1981,,,International Paper,IPC-Mansfield Mill [100%],32.1575,-93.5562,exact,Mansfield,Louisiana,Americas,G100000201637,https://www.gem.wiki/Mansfield_Mill_power_station
United States,Mansfield Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), fossil gas: natural gas",GEN3,,30.0,operating,1981,,,International Paper,IPC-Mansfield Mill [100%],32.1575,-93.5562,exact,Mansfield,Louisiana,Americas,G100000201638,https://www.gem.wiki/Mansfield_Mill_power_station
Guinea-Bissau,Mansôa power station,bioenergy: agricultural waste (solids),1,,30.0,cancelled,,,,,Shenyang Lan Sa Trading Co Ltd [100%],12.0817,-15.3201,approximate,Setor de Mansoa,Oio Region,Africa,G100000200001,https://www.gem.wiki/Mansôa_power_station
Chile,MAPA power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids)",1,Planta de biomasa MAPA,166.0,operating,2023,,,Arauco Bioenergía,Arauco Bioenergía SA [100%],-37.2117,-73.2264,exact,Arauco,Biobío,Americas,G100000200474,https://www.gem.wiki/MAPA_power_station
Brazil,Maracaí power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Maracaí,47.0,operating,2000,,,Bioenergia Maracaí,Bioenergia Maracaí Ltda [100%],-22.5711,-50.6442,exact,Maracaí,São Paulo,Americas,G100000200617,https://www.gem.wiki/Maracaí_power_station
Philippines,Maramag power station,bioenergy: agricultural waste (solids),1,,49.0,operating,2010,,,Crystal Sugar,Crystal Sugar Co Inc [100%],7.7128,125.0187,exact,,Bukidnon,Asia,G100000200809,https://www.gem.wiki/Maramag_power_station
United Kingdom,Margam Green Energy power station,bioenergy: refuse (municipal and industrial wastes),1,,40.0,operating,2019,,,BMV,Greencoat Capital LLP [100%],51.5632,-3.7468,exact,,Wales,Europe,G100000200298,https://www.gem.wiki/Margam_Green_Energy_power_station
United Kingdom,Markinch CHP power station,bioenergy: wood & other biomass (solids),1,,55.0,operating,2015,,,,RWE AG [100%],56.2018,-3.1597,exact,,Scotland,Europe,G100000200299,https://www.gem.wiki/Markinch_CHP_power_station
United States,Marlboro Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids)",MG1,,51.0,operating,2010,,,Domtar Paper Company,Domtar Paper Company LLC [100%],34.605,-79.785,exact,,South Carolina,Americas,G100000200400,https://www.gem.wiki/Marlboro_Mill_power_station
Japan,Marubeni Suzu power station,bioenergy: unknown,1,丸紅クリーンパワー株式会社,50.0,announced,,,,,,35.5467,135.1579,approximate,Suzu,,Asia,G100000200771,https://www.gem.wiki/Marubeni_Suzu_power_station
Japan,Marusumi Paper Ohe Mill power station,bioenergy: paper mill wastes,4,"丸住製紙（株） 守衛所大江工場, 丸住製紙 大江工場, 丸住製紙株式会社",35.0,operating,2013,,,,Marusumi Paper Co Ltd [100%],34.008364,133.554393,exact,Ohe Mill,Shikoku,Asia,G100000200772,https://www.gem.wiki/Marusumi_Paper_Ohe_Mill_power_station
