gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url
T1205,T01205,-,Indonesia,Asam Asam Coal Terminal,,12,Operating,-,-,Exact,PT Mitratama Perkasa,-3.958783385,115.1387205,South Kalimantan,Asia,https://www.gem.wiki/Asam_Asam_coal_terminal
T1210,T01210,-,Indonesia,Balikpapan Coal Terminal,,21,Construction,2025,-,Exact,PT Dermaga Perkasapratama,-1.197841,116.786717,East Kalimantan,Asia,https://www.gem.wiki/Balikpapan_Coal_Terminal
T1210,T11210,-,Indonesia,Balikpapan Coal Terminal,,24,Operating,-,-,Exact,PT Dermaga Perkasapratama,-1.197841,116.786717,East Kalimantan,Asia,https://www.gem.wiki/Balikpapan_Coal_Terminal
T2001,T01356,Banjamarsin,Indonesia,Banjamarsin Port,"Taboneo / Banjamarsin, Trisakti",100,Operating,-,-,Exact,PT Pelabuhan Indonesia (Persero) ,-3.324641684,114.5583666,South Kalimantan,Asia,https://www.gem.wiki/Banjamarsin_Port
T1433,T01433,-,Indonesia,Banten Coal Terminal,,7,Operating,2020,-,Approximate,PT PLN Persero,-6.5,106.25,Java,Asia,https://www.gem.wiki/Banten_Coal_Terminal
T1434,T01434,-,Indonesia,Batulicin Coal Terminal,,6,Operating,2013,-,Exact,PT Bina Indo Raya,-3.745445447,115.6363675,South Kalimantan,Asia,https://www.gem.wiki/Batulicin_coal_terminal
T1196,T01196,Bengkulu Port,Indonesia,Bengkulu Port Bengkulu Port,,5.47,Operating,-,-,Exact,-,-3.877778,102.2625,East Kalimantan,Asia,https://www.gem.wiki/Bengkulu_Port
T1211,T01211,-,Indonesia,Bontang Coal Terminal,,18.5,Operating,-,-,Exact,PT Indominco Mandiri,0.0291824,117.5164604,East Kalimantan,Asia,https://www.gem.wiki/Bontang_Coal_Terminal
T1435,T01435,-,Indonesia,Borneo Coal Terminal,,*,Shelved,-,-,Approximate,-,1,114,Borneo Island,Asia,https://www.gem.wiki/Borneo_coal_terminal
T2002,T11400,-,Indonesia,Bunati Port,"Sebamban, Boenati",30,Operating,-,-,Exact,PT Borneo Indobara,-3.744004162,115.6471027,South Kalimantan ,Asia,https://www.gem.wiki/Bunati_Port_Coal_Terminal
T1201,T01201,-,Indonesia,Cigading International Bulk Terminal,,7.5,Operating,-,-,Exact,-,-6.12,106.150278,West Java,Asia,https://www.gem.wiki/Cigading_anchorage
T1193,T01193,Cirebon Port,Indonesia,Cirebon Port Coal Terminal,,3,Operating,-,-,Exact,Port Authority of Tanjung Priok,-6.709722,108.572778,West Java,Asia,https://www.gem.wiki/Cirebon_Port
